Episode 1, Total reward: 4.7, Mean loss: -inf, Epsilon: 0.995
Episode 71, Total reward: 2.800000000000001, Mean loss: 1.1277100443840027, Epsilon: 0.701
Episode 72, Total reward: 1.9000000000000006, Mean loss: 0.8593796491622925, Epsilon: 0.697
Episode 73, Total reward: 5.6, Mean loss: 1.0990594978685733, Epsilon: 0.694
Episode 74, Total reward: 7.6, Mean loss: 1.0355615973472596, Epsilon: 0.690
Episode 75, Total reward: 2.4000000000000004, Mean loss: 1.048088946690162, Epsilon: 0.687
Episode 76, Total reward: 1.2000000000000002, Mean loss: 1.0887041675007862, Epsilon: 0.683
Episode 77, Total reward: 2.6000000000000005, Mean loss: 1.0730159255591305, Epsilon: 0.680
Episode 78, Total reward: 5.6, Mean loss: 1.032909471988678, Epsilon: 0.676
Episode 79, Total reward: 6.1000000000000005, Mean loss: 1.201769043292318, Epsilon: 0.673
Episode 80, Total reward: 5.5, Mean loss: 1.1077340462555487, Epsilon: 0.670
Episode 81, Total reward: 13.9, Mean loss: 1.0293831172827128, Epsilon: 0.666
Episode 82, Total reward: 13.200000000000001, Mean loss: 1.0409747797089655, Epsilon: 0.663
Episode 83, Total reward: 3.7000000000000006, Mean loss: 1.0359720960259438, Epsilon: 0.660
Episode 84, Total reward: 2.5, Mean loss: 0.9438882526897249, Epsilon: 0.656
Episode 85, Total reward: 3.6000000000000005, Mean loss: 1.0511180671552818, Epsilon: 0.653
Episode 86, Total reward: 3.400000000000001, Mean loss: 1.1766789394120376, Epsilon: 0.650
Episode 87, Total reward: 4.3, Mean loss: 0.9679515995085239, Epsilon: 0.647
Episode 88, Total reward: 5.699999999999999, Mean loss: 1.098153232381894, Epsilon: 0.643
Episode 1, Total reward: 2.5, Mean loss: -inf, Epsilon: 0.995
Episode 2, Total reward: 1.4, Mean loss: -inf, Epsilon: 0.990
Episode 3, Total reward: 6.6, Mean loss: 0.0805211870206727, Epsilon: 0.985
Episode 4, Total reward: 3.2000000000000006, Mean loss: 0.0603185524656014, Epsilon: 0.980
Episode 5, Total reward: 6.800000000000001, Mean loss: 0.037646373600832055, Epsilon: 0.975
Episode 6, Total reward: 7.299999999999999, Mean loss: 0.032999437302351, Epsilon: 0.970
Episode 7, Total reward: 2.6000000000000005, Mean loss: 0.031833801661496575, Epsilon: 0.966
Episode 8, Total reward: 7.1, Mean loss: 0.03374133625164114, Epsilon: 0.961
Episode 9, Total reward: 4.1, Mean loss: 0.034732511775060135, Epsilon: 0.956
Episode 10, Total reward: 9.0, Mean loss: 0.04209853184875101, Epsilon: 0.951
Episode 11, Total reward: 3.7000000000000006, Mean loss: 0.05260377030142329, Epsilon: 0.946
Episode 12, Total reward: 14.100000000000001, Mean loss: 0.05448868707753718, Epsilon: 0.942
Episode 13, Total reward: 4.3999999999999995, Mean loss: 0.07402894029823634, Epsilon: 0.937
Episode 14, Total reward: 4.1, Mean loss: 0.09911419916898012, Epsilon: 0.932
Episode 15, Total reward: 12.699999999999998, Mean loss: 0.11865013837814331, Epsilon: 0.928
Episode 16, Total reward: 7.499999999999999, Mean loss: 0.13182551317637967, Epsilon: 0.923
Episode 17, Total reward: 3.7000000000000006, Mean loss: 0.13948964499510252, Epsilon: 0.918
Episode 18, Total reward: 7.799999999999999, Mean loss: 0.1731223713967108, Epsilon: 0.914
Episode 19, Total reward: 2.0, Mean loss: 0.22701819467803705, Epsilon: 0.909
Episode 20, Total reward: 4.3999999999999995, Mean loss: 0.27383737239454475, Epsilon: 0.905
Episode 21, Total reward: 2.8000000000000003, Mean loss: 0.3213426633314653, Epsilon: 0.900
Episode 22, Total reward: 2.6000000000000005, Mean loss: 0.37083862527557043, Epsilon: 0.896
Episode 23, Total reward: 1.7999999999999998, Mean loss: 0.3354176411574537, Epsilon: 0.891
Episode 24, Total reward: 5.6, Mean loss: 0.3977169062082584, Epsilon: 0.887
Episode 25, Total reward: 2.8, Mean loss: 0.5047865347428755, Epsilon: 0.882
Episode 26, Total reward: 1.8000000000000003, Mean loss: 0.5506314557531605, Epsilon: 0.878
Episode 27, Total reward: 4.1000000000000005, Mean loss: 0.6156509919808462, Epsilon: 0.873
Episode 28, Total reward: 2.1, Mean loss: 0.6295745901086114, Epsilon: 0.869
Episode 29, Total reward: 7.6000000000000005, Mean loss: 0.6554760853094714, Epsilon: 0.865
Episode 30, Total reward: 4.5, Mean loss: 0.865324579179287, Epsilon: 0.860
Episode 31, Total reward: 1.7, Mean loss: 1.0410684318769545, Epsilon: 0.856
Episode 32, Total reward: 5.2, Mean loss: 1.1124608314037323, Epsilon: 0.852
Episode 1, Total reward: 6.199999999999999, Mean loss: -inf, Epsilon: 0.995
Episode 2, Total reward: 3.6999999999999997, Mean loss: -inf, Epsilon: 0.990
Episode 3, Total reward: 3.6000000000000005, Mean loss: 0.10159111768007278, Epsilon: 0.985
Episode 4, Total reward: 2.4000000000000004, Mean loss: 0.09248532422564247, Epsilon: 0.980
Episode 5, Total reward: 5.5, Mean loss: 0.09040121641010046, Epsilon: 0.975
Episode 6, Total reward: 1.7000000000000002, Mean loss: 0.0862873097260793, Epsilon: 0.970
Episode 7, Total reward: 1.8000000000000003, Mean loss: 0.07884300837204569, Epsilon: 0.966
Episode 8, Total reward: 5.6, Mean loss: 0.07986680045723915, Epsilon: 0.961
Episode 9, Total reward: 10.600000000000001, Mean loss: 0.07813476343803546, Epsilon: 0.956
